HotelName,Latitude,Longitude,TransportationModesCount,AttractionPlacesCount,Rating
Ayana Sea,6.6565653,79.9300275,2,1,55.2
AYUBOWAN RESORTS,7.9912407,80.734961,1,2,54
Ayubowan Swiss Lanka Bungalow Resort,6.4101825,80.0014485,6,9,56.4
Ayur Ayur Ayurveda Retreat,7.2371242,79.8471948,1,8,55.2
Ayurveda Spring of Life,6.8039039,79.905102,18,4,48
Babar point,6.9011583,81.8425189,0,6,57.6
"Back of Beyond - Jungle Hideaway, Pidurangala",7.9693237,80.7636203,1,8,51.6
Back of Beyond - Water's Edge Anuradhapura,8.3264635,80.3714967,1,2,22.8
Backpack Lanka Hostel,6.9109324,79.8519799,22,38,46.8
Backpackers Paradise Colombo,6.9220641,79.8688286,26,33,49.2
Ballena Regency-Mirissa,5.9459356,80.4610846,3,22,45.6
Banana Rest,6.8961395,79.8544991,19,24,80
Bangalawa Guest House,8.0419193,80.7540608,1,3,24
Bara Beach Home,6.0668987,80.1696375,11,6,70.4
Barathi Star Hotel & Hall,9.4024867,80.4079073,1,1,60.8
Barberyn Reef Ayurveda Resort,6.4505258,79.9798477,8,8,52.8
Barthiya Tourist Guest,8.3214929,80.4093212,9,2,18
Bastian Hotel,9.6592267,80.0257571,4,17,22.2
Bastille Fort Galle,6.0263658,80.2186758,9,35,55.2
Bathalagoda Walauwa,7.5530949,80.4536807,0,0,23.4
Bay Vista Hotel,6.8417772,81.8323397,0,11,68.8
Beach & Bliss - Mirissa,6.9260629,79.8443963,20,51,72
Beach Cab Resort,6.8473258,81.8314358,0,11,27
Beach Castle,6.5960376,79.9524846,3,4,18
Beach Corridor Hotel,7.2390731,79.8418606,1,7,50.4
Beach Grove Villas,6.00745,80.2617644,2,14,27
Beach Haven Guest House (Mrs Wijenayake's Guest House),6.0252266,80.217191,9,35,25.8
Beach House,6.8554888,79.8608708,11,9,58.8
Beach House Hiriketiya,5.962467,80.70703,2,3,50.4
Beach House Resort,6.0762123,80.9321634,0,5,28.8
Beach Inns,5.9363059,80.5172926,3,6,70.4
Beach View,7.0315874,79.860519,0,2,0
Beachmirissa,5.9418709,80.465465,3,22,52.8
Beatroot Hostel Weligama,5.9721905,80.4286894,3,13,27.6
Beauty Hills,7.2963639,80.6491166,10,36,56.4
Bedrock Beach Bungalows Kalpitiya,8.1478625,79.7090165,0,0,26.4
Bee Nest Bed & Breakfast,7.2510892,79.8429823,2,6,27.6
BELMAND Lake,8.3205568,80.405586,9,3,55.2
Beni Beach Resort,7.7246733,81.7131305,5,9,45.6
Bentota Home Stay,6.421133,79.9982596,7,13,55.2
BERG HOUSE - UNAWATUNA,6.0227638,80.2516859,5,13,54
Berjaya Hotel Colombo,6.8385818,79.8636682,5,5,75.2
Best Western Elyon Colombo,6.8835326,79.8763012,19,10,62.4
Bevary City Hotel,8.3245312,80.4076615,12,2,26.4
Bevary Holiday Home,8.3246202,80.4076632,12,2,49.2
BiEnVenIDo Madiha,5.9372652,80.5167735,3,6,26.4
Big Game Camp Wilpattu,8.2570319,80.141176,1,1,51.6
Big Game Camp Yala,6.4053749,81.3759973,0,0,52.8
Bilin Tree House,6.0410969,80.2328727,6,8,55.2
Binnacle Negombo,7.240493,79.8433434,1,7,54
Bird House Unawatuna,6.0102837,80.2437247,3,14,25.8
Birds Paradise Hotel,6.4510934,80.413672,0,3,51.6
Birds Park Nature,7.3837194,80.2596435,0,3,51.6
Bissa Villa,8.0581803,80.7129388,1,1,28.8
Blackout Bar & Restaurant,6.916304,79.8687803,26,32,62.4
Blinkbonnie Inn,7.286333,80.643376,13,36,52.8
Blue and Green Resort,7.39505,79.8205413,0,1,50.4
Blue Beach,6.6811855,79.9181372,2,4,67.2
blue beach paradise,5.9627208,80.7078967,2,3,46.8
Blue Corals Beach Bungalow,5.9357308,80.5202193,3,6,27.6
Blue Diamond Resort,8.5948638,81.2227474,1,3,76.8
Blue Elephant Boutique Hotel,7.2421939,79.844214,2,7,49.2
Blue Haven Guest House,7.3050585,80.6311871,14,32,46.8
Blue Lake Ridge.,7.5292799,81.3531745,2,0,54
"Blue Magpie Lodge, Kudawa, Weddagala",6.4433356,80.4170405,0,3,50.4
Blue parrot beach villa,6.22447,80.0549661,15,8,28.2
Blue Sand Beach Resort,8.6112155,81.2184677,0,5,49.2
Blue Seas Guest House,6.8413306,79.8645459,5,5,24.6
Blue Spring Hotel,6.679082,79.921008,2,4,46.8
Blue Star Beach Hotel & Restaurant Weligama,5.9695683,80.4479353,2,13,25.2
